,neighborhood,code,name,longitude,latitude,rental_methods,capacity
156,Ville-Marie,7146,Lusignan / St-Jacques,-73.56934815645218,45.492222393331566,"['KEY', 'CREDITCARD']",23.0
157,Le Plateau-Mont-Royal,6019,Métro Sherbrooke (de Rigaud / Berri),-73.56818407773972,45.51799893773692,"['KEY', 'CREDITCARD']",23.0
158,Le Plateau-Mont-Royal,6044,Roy / St-André,-73.57036739587784,45.521564270906616,"['KEY', 'CREDITCARD']",23.0
159,Le Plateau-Mont-Royal,6047,University / Prince-Arthur,-73.57844352722168,45.507401678946415,"['KEY', 'CREDITCARD']",47.0
160,Le Plateau-Mont-Royal,6070,Milton / University,-73.57634872,45.5064484,"['KEY', 'CREDITCARD']",31.0
161,Le Plateau-Mont-Royal,6079,Hutchison / Prince-Arthur,-73.57610732316971,45.50975858607626,"['KEY', 'CREDITCARD']",23.0
162,Le Plateau-Mont-Royal,6089,Henri-Julien / du Carmel,-73.59482109546661,45.527839413108,"['KEY', 'CREDITCARD']",23.0
163,Le Plateau-Mont-Royal,6094,de Gaspé / Fairmount,-73.5929274559021,45.52564776553033,"['KEY', 'CREDITCARD']",23.0
164,Le Plateau-Mont-Royal,6131,Fullum / Sherbrooke,-73.562425,45.533924,"['KEY', 'CREDITCARD']",43.0
165,Le Plateau-Mont-Royal,6133,Chapleau / Terrasse Mercure,-73.56516659259796,45.53673838509649,"['KEY', 'CREDITCARD']",15.0
166,Le Plateau-Mont-Royal,6134,Bercy / Rachel,-73.56196403503418,45.53840340979245,"['KEY', 'CREDITCARD']",15.0
167,Le Plateau-Mont-Royal,6136,Métro Laurier (Rivard / Laurier),-73.5891147,45.52761627,"['KEY', 'CREDITCARD']",19.0
168,Le Plateau-Mont-Royal,6137,Cartier / Gauthier,-73.56698781251907,45.53034708827074,"['KEY', 'CREDITCARD']",19.0
169,Le Plateau-Mont-Royal,6138,Gauthier / de Lorimier,-73.56541335582732,45.53167355364312,"['KEY', 'CREDITCARD']",15.0
170,Le Plateau-Mont-Royal,6139,Gauthier / Parthenais,-73.56377989053726,45.53292625574653,"['KEY', 'CREDITCARD']",15.0
171,Le Plateau-Mont-Royal,6140,Marquette / Rachel,-73.5702896118164,45.5298015824607,"['KEY', 'CREDITCARD']",15.0
172,Le Plateau-Mont-Royal,6141,des Érables / Rachel,-73.5668671131134,45.53354753725336,"['KEY', 'CREDITCARD']",19.0
173,Le Plateau-Mont-Royal,6142,Calixa-Lavallée / Rachel,-73.57193917036057,45.527794785525096,"['KEY', 'CREDITCARD']",31.0
174,Le Plateau-Mont-Royal,6143,Rachel / de Brébeuf,-73.57264,45.52689,"['KEY', 'CREDITCARD']",29.0
175,Le Plateau-Mont-Royal,6145,du Parc-La Fontaine / Duluth,-73.57197672128677,45.52451761488783,"['KEY', 'CREDITCARD']",23.0
176,Le Plateau-Mont-Royal,6146,du Parc-La Fontaine / Roy,-73.56901288032532,45.52317047138824,"['KEY', 'CREDITCARD']",23.0
177,Le Plateau-Mont-Royal,6147,Calixa-Lavallée / Sherbrooke,-73.56545,45.52479,"['KEY', 'CREDITCARD']",23.0
178,Le Plateau-Mont-Royal,6148,Émile-Duployé / Sherbrooke,-73.56472939252852,45.52720058937288,"['KEY', 'CREDITCARD']",27.0
179,Le Plateau-Mont-Royal,6149,Chapleau / du Mont-Royal,-73.56936,45.53867,"['KEY', 'CREDITCARD']",19.0
180,Le Plateau-Mont-Royal,6150,Messier / du Mont-Royal,-73.5710031,45.53711414,"['KEY', 'CREDITCARD']",19.0
