code,name,neighborhood,longitude,latitude,Capacity,Current_Bikes,recommended_adds,recommended_removals
6222,de l'Esplanade / du Mont-Royal,Le Plateau-Mont-Royal,-73.5883381962776,45.51825290855221,30,22,8,0
6223,du Mont-Royal / du Parc,Le Plateau-Mont-Royal,-73.589,45.517,55,44,11,0
6224,Villeneuve / du Parc,Le Plateau-Mont-Royal,-73.59235,45.51829,15,14,1,0
6225,Villeneuve / St-Urbain,Le Plateau-Mont-Royal,-73.590559,45.520188,25,10,10,0
6226,Hôpital Maisonneuve-Rosemont (Rosemont / Chatelain),Rosemont-La Petite-Patrie,-73.561562,45.575707,5,5,0,0
6227,de l'Esplanade / Laurier,Le Plateau-Mont-Royal,-73.59490692615509,45.52103885732127,15,5,0,0
6228,Waverly / Van Horne,Le Plateau-Mont-Royal,-73.607723,45.527363,10,4,0,0
6229,Coloniale / du Mont-Royal,Le Plateau-Mont-Royal,-73.5856157541275,45.5211613236904,15,13,2,0
6230,Waverly / St-Viateur,Le Plateau-Mont-Royal,-73.60012650489807,45.5238561444472,15,4,0,0
6231,Jeanne-Mance / St-Viateur,Le Plateau-Mont-Royal,-73.60184043645859,45.523026476635074,20,20,0,0
6232,Durocher / Van Horne,Outremont,-73.61127376556396,45.524265806034656,15,1,13,0
6233,Bernard / Jeanne-Mance,Le Plateau-Mont-Royal,-73.60497325658798,45.5242864769531,30,2,28,0
6234,de l'Arcade / Clark,Le Plateau-Mont-Royal,-73.60393524169922,45.527410360532215,10,10,0,0
6235,St-Dominique / St-Viateur,Le Plateau-Mont-Royal,-73.5982757806778,45.52655700191558,25,21,4,0
6236,Laurier / de Bordeaux,Le Plateau-Mont-Royal,-73.57978463172913,45.5376492623372,10,7,0,4
6237,Gilford / de Lanaudière,Le Plateau-Mont-Royal,-73.58044445514679,45.53200800170645,10,9,0,5
6240,Parc Kent (de Kent / Hudson),Côte-des-Neiges-Notre-Dame-de-Grâce,-73.62945914268494,45.5057209331225,5,4,1,0
6241,Querbes / Laurier,Outremont,-73.59783187508583,45.51753998795678,10,2,0,0
6243,Bloomfield / Bernard,Outremont,-73.6084279,45.52068774,10,2,2,0
6245,Bloomfield / Van Horne,Outremont,-73.61265779,45.5225858,10,7,3,0
6246,Métro Outremont (Wiseman / Van Horne),Outremont,-73.61484915018082,45.52027053865367,15,7,8,0
6247,St-Dominique / St-Zotique,Rosemont-La Petite-Patrie,-73.6110632121563,45.53226461018495,20,4,16,0
6248,St-Dominique / Rachel,Le Plateau-Mont-Royal,-73.581566,45.518593,30,10,19,0
6249,Bélanger / St-Denis,Rosemont-La Petite-Patrie,-73.61199,45.53696,15,5,3,0
6250,Marché Jean-Talon (Henri-Julien / Jean-Talon),Rosemont-La Petite-Patrie,-73.6148879583925,45.53678525128436,15,5,0,0
6251,Dante / de Gaspé,Rosemont-La Petite-Patrie,-73.6123164743185,45.53441493337628,10,5,1,0
6252,Mozart / St-Laurent,Rosemont-La Petite-Patrie,-73.61544,45.53318,10,2,0,0
6253,Métro Jean-Talon (de Chateaubriand / Jean-Talon),Villeray-Saint-Michel-Parc-Extension,-73.61402839422226,45.540138286478616,20,8,0,0
6254,Boyer / Bélanger,Rosemont-La Petite-Patrie,-73.60897,45.54006,15,9,6,0
6255,Boyer / St-Zotique,Rosemont-La Petite-Patrie,-73.60556,45.53848,10,4,6,0
6257,de St-Vallier / St-Zotique,Rosemont-La Petite-Patrie,-73.60754549503326,45.53626117851967,10,8,0,0
6258,Parc Père-Marquette (Chambord / Rosemont),Rosemont-La Petite-Patrie,-73.59321847558022,45.53708783301333,25,24,1,0
6259,Dandurand / de Lorimier,Rosemont-La Petite-Patrie,-73.584157,45.540881,10,4,0,0
6260,Cartier / Dandurand,Rosemont-La Petite-Patrie,-73.58594566583633,45.53923559055867,10,5,0,0
6261,Louis-Hémon / Rosemont,Rosemont-La Petite-Patrie,-73.58822286128998,45.54459855947176,10,2,0,0
6262,de la Roche /  de Bellechasse,Rosemont-La Petite-Patrie,-73.59747648239136,45.53715922533132,10,7,0,2
6263,de Hampton / de Monkland,Côte-des-Neiges-Notre-Dame-de-Grâce,-73.6270022392273,45.47117930747152,10,8,0,0
