station_code,date,departures,arrivals,excess_arrivals
6087,2019-04-15,35,42,7
6088,2019-04-15,17,16,-1
6089,2019-04-15,20,15,-5
6090,2019-04-15,13,7,-6
6091,2019-04-15,18,14,-4
6092,2019-04-15,8,13,5
6093,2019-04-15,6,6,0
6094,2019-04-15,29,13,-16
6095,2019-04-15,16,17,1
6096,2019-04-15,13,18,5
6097,2019-04-15,18,8,-10
6098,2019-04-15,16,9,-7
6099,2019-04-15,25,27,2
6100,2019-04-15,60,58,-2
6101,2019-04-15,37,5,-32
6102,2019-04-15,5,7,2
6103,2019-04-15,2,3,1
6104,2019-04-15,25,30,5
6105,2019-04-15,15,30,15
6106,2019-04-15,5,8,3
6107,2019-04-15,21,21,0
6108,2019-04-15,11,21,10
6110,2019-04-15,11,13,2
6111,2019-04-15,8,16,8
6112,2019-04-15,17,21,4
6113,2019-04-15,16,18,2
6114,2019-04-15,33,58,25
6115,2019-04-15,5,9,4
6116,2019-04-15,15,12,-3
6118,2019-04-15,9,24,15
6119,2019-04-15,18,30,12
6120,2019-04-15,19,25,6
6121,2019-04-15,9,13,4
6122,2019-04-15,2,2,0
6123,2019-04-15,6,13,7
6124,2019-04-15,12,15,3
6125,2019-04-15,7,11,4
6126,2019-04-15,7,10,3
6127,2019-04-15,11,9,-2
6128,2019-04-15,3,6,3
6129,2019-04-15,22,13,-9
6130,2019-04-15,9,4,-5
6131,2019-04-15,15,8,-7
6132,2019-04-15,14,22,8
6133,2019-04-15,12,14,2
6134,2019-04-15,11,13,2
6137,2019-04-15,37,26,-11
6138,2019-04-15,16,19,3
6139,2019-04-15,7,8,1
6140,2019-04-15,35,30,-5
6141,2019-04-15,12,3,-9
6142,2019-04-15,14,11,-3
6143,2019-04-15,31,21,-10
6145,2019-04-15,12,14,2
6146,2019-04-15,13,10,-3
6147,2019-04-15,24,18,-6
6148,2019-04-15,21,22,1
6149,2019-04-15,17,14,-3
6150,2019-04-15,19,18,-1
6151,2019-04-15,14,11,-3
6152,2019-04-15,25,30,5
6153,2019-04-15,20,10,-10
6154,2019-04-15,46,50,4
6155,2019-04-15,39,40,1
6156,2019-04-15,27,30,3
6158,2019-04-15,21,30,9
6160,2019-04-15,20,20,0
6161,2019-04-15,11,13,2
6163,2019-04-15,36,28,-8
6164,2019-04-15,29,31,2
6165,2019-04-15,14,17,3
6166,2019-04-15,18,13,-5
6167,2019-04-15,11,14,3
6168,2019-04-15,17,16,-1
6169,2019-04-15,35,30,-5
6170,2019-04-15,4,8,4
6171,2019-04-15,15,15,0
6173,2019-04-15,27,14,-13
6174,2019-04-15,33,26,-7
6175,2019-04-15,31,17,-14
6176,2019-04-15,11,21,10
6177,2019-04-15,20,15,-5
6178,2019-04-15,25,24,-1
6180,2019-04-15,13,9,-4
6181,2019-04-15,28,22,-6
6182,2019-04-15,23,13,-10
6183,2019-04-15,15,17,2
6184,2019-04-15,52,71,19
6186,2019-04-15,36,34,-2
6187,2019-04-15,27,29,2
